Agua,Agua Mineral,1.99,100,AB123
Agua,Agua con Gas,1.49,75,GH012
Azucarada,Refresco de Cola,2.49,50,CD456
Azucarada,Refresco de Naranja,2.49,30,CD457
Alcohólica,Whisky Escocés,29.99,10,EF789
Alcohólica,Vodka,19.99,20,EF790
Salado,Papas Fritas,1.29,80,FG123
Salado,Palomitas de Maíz,1.99,40,FG124
Dulces,Chocolate,1.79,60,FG125
Dulces,Galletas,1.49,70,FG126
Comida Rápida,Hamburguesa,4.99,20,HI456
Comida Rápida,Pizza,5.99,15,HI457
Embutidos,Salchichas,2.49,40,HI458
Embutidos,Jamón,3.99,30,HI459
Pan,Pan Integral,2.99,50,HI460
Pan,Baguette,1.49,70,HI461
Quesos,Queso Cheddar,3.29,25,HI462
Quesos,Queso Mozzarella,2.99,30,HI463
Comida para Mascotas,Comida para Perros,6.99,40,HI464
Comida para Mascotas,Comida para Gatos,7.49,30,HI465
Salsas,Ketchup,1.49,60,HI466
Salsas,Mostaza,1.29,50,HI467
Sal y Parecidos,Sal de Mesa,0.99,100,HI468
Sal y Parecidos,Azúcar,1.29,80,HI469
Tortillas,Tortillas de Maíz,2.49,40,HI470
Tortillas,Tortillas de Harina,2.99,30,HI471
Bloqueador Solar,Protector Solar SPF30,6.99,40,JK789
Bloqueador Solar,Protector Solar SPF50,7.99,30,JK790
Cremas,Crema Hidratante,5.99,50,JK791
Cremas,Crema Antienvejecimiento,8.99,40,JK792
Serums,Serum Facial,9.99,30,JK793
Serums,Serum Capilar,7.99,50,JK794
Toners,Toner Facial,4.99,60,JK795
Toners,Toner Capilar,5.99,40,JK796
Limpiadores Faciales,Limpiador Facial,3.99,80,JK797
Limpiadores Faciales,Gel Limpiador,4.99,70,JK798
Shampoo,Shampoo Anticaspa,2.99,90,JK799
Shampoo,Shampoo Hidratante,3.99,80,JK800
Jabones,Jabón de Tocador,1.49,100,JK801
Jabones,Jabón de Manos,1.29,90,JK802
Bálsamos,Bálsamo Labial,1.99,70,JK803
Bálsamos,Bálsamo para el Cabello,3.49,50,JK804
